,Player,Season,AGE,GP,PTS,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,LENGTH,AAV
696,Jaroslav Halak,2018,33.0,41.0,0.5,11.0,2.5,8.5,74.1,37.5,16.0,17.5,5.5,118.0,1314.5,1196.5,0.9115,2.995,1.5,7.15,2314.5,18.0,5.5,2,2750000.0
701,Anton Khudobin,2018,32.0,23.5,1.5,10.5,2.5,8.0,72.25,21.5,11.5,6.0,4.0,57.5,640.5,583.0,0.9085,2.6,0.5,3.45,1333.0,10.5,3.0,2,2500000.0
703,Jonathan Bernier,2018,29.0,38.0,0.5,18.0,6.5,11.5,50.0,33.5,20.0,10.0,3.5,89.0,1037.0,948.0,0.914,2.675,2.0,6.1,1997.0,18.5,4.5,3,3000000.0
718,Carter Hutton,2018,32.0,31.0,0.5,4.0,0.5,3.5,87.5,23.5,15.0,7.5,2.5,57.0,736.5,679.5,0.922,2.24,3.5,5.0,1534.5,15.0,2.5,3,2750000.0
728,Chad Johnson,2018,32.0,36.0,0.0,10.0,2.0,8.0,80.0,36.0,18.0,15.0,1.0,87.0,969.0,882.0,0.91,2.59,3.0,5.4,2013.0,18.0,7.0,1,1750000.0
734,Eddie Lack,2018,30.0,20.0,0.0,3.0,1.0,2.0,66.7,18.0,8.0,7.0,3.0,48.0,492.0,444.0,0.902,2.64,1.0,2.3,1090.0,9.0,3.0,1,650000.0
755,Philipp Grubauer,2018,26.0,29.5,0.5,2.0,1.0,1.0,50.0,23.5,14.0,8.0,2.5,58.0,769.0,711.0,0.9245,2.1950000000000003,3.0,5.45,1565.0,16.0,2.0,3,3333333.0
758,Louis Domingue,2018,26.0,25.0,0.0,9.5,1.0,8.5,84.15,21.0,9.0,12.0,1.0,71.5,733.0,661.5,0.901,3.245,0.0,3.35,1336.5,9.0,3.5,2,1150000.0
761,Calvin Pickard,2018,26.0,50.0,2.0,4.0,1.0,3.0,75.0,48.0,15.0,31.0,2.0,140.0,1461.0,1321.0,0.904,2.98,2.0,7.1,2820.0,21.0,11.0,1,800000.0
772,Antti Niemi,2018,34.0,24.0,1.0,9.0,4.0,5.0,55.6,20.0,7.0,9.0,4.0,63.0,710.0,647.0,0.911,3.12,1.0,3.9,1213.0,12.0,4.0,1,950000.0
776,Antti Raanta,2018,29.0,38.5,0.5,11.5,5.0,6.5,53.55,36.0,18.5,12.5,4.0,79.0,1085.0,1006.0,0.926,2.25,3.5,7.9,2108.0,25.0,3.5,3,4250000.0
783,Aaron Dell,2018,29.0,29.0,1.0,3.0,0.0,3.0,100.0,22.0,15.0,5.0,4.0,67.0,775.0,708.0,0.914,2.64,2.0,4.4,1522.0,11.0,4.0,2,1900000.0
789,Darcy Kuemper,2018,28.0,29.0,1.0,2.0,0.0,2.0,100.0,25.0,12.0,7.0,5.0,67.0,833.0,766.0,0.92,2.52,4.0,5.3,1596.0,12.0,3.0,2,1850000.0
823,Craig Anderson,2017,37.0,36.66666666666666,0.3333333333333333,21.33333333333333,5.666666666666667,15.666666666666666,73.06666666666666,36.66666666666666,17.666666666666668,12.333333333333334,6.666666666666667,88.66666666666667,1171.6666666666667,1083.0,0.924,2.42,3.6666666666666665,8.4,2202.333333333333,19.666666666666668,2.6666666666666665,2,4750000.0
855,Robin Lehner,2017,25.0,36.333333333333336,1.0,12.0,5.333333333333333,6.666666666666667,47.6,35.333333333333336,13.666666666666666,16.666666666666668,4.666666666666667,100.0,1156.0,1056.0,0.91,2.9066666666666667,0.6666666666666666,6.833333333333333,2115.6666666666665,18.0,3.333333333333333,1,4000000.0
