Season,Player,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2012,Blake Comeau,26,CGY,RW,33,4,3,7,-9,14,0.2,3,0,1,1,3,0,0,44,9.1,406,12:17:00,10,72,37,44,45.7,409,431,48.7,-2,292,309,48.6,-2.6,8.2,90.2,98.4,50.9,49.1,12:09:00,10:44:00,7,10,95,50.5,0,0,0,0.0
2012,Blake Comeau,26,CBJ,RW,9,2,3,5,5,6,0.8,2,0,0,0,3,0,0,4,50,105,11:41:00,2,23,3,2,60,409,431,48.7,-2,292,309,48.6,-2.6,8.2,90.2,98.4,50.9,49.1,12:09:00,10:44:00,7,10,95,50.5,0,0,0,0.0
2012,Cory Conacher,23,TOT,LW,47,11,18,29,3,20,3.3,10,1,0,3,15,3,0,67,16.4,657,13:58:00,9,39,4,11,26.7,527,532,49.8,-0.1,398,401,49.8,-1,10.6,89.5,100.1,56.9,43.1,13:58:00,11:54:00,10,20,110,60.9,0,0,0,0.0
2012,Cory Conacher,23,TBL,LW,35,9,15,24,-3,16,2.5,8,1,0,2,12,3,0,53,17,503,14:22:00,8,25,0,3,0,527,532,49.8,-0.1,398,401,49.8,-1,10.6,89.5,100.1,56.9,43.1,13:58:00,11:54:00,10,20,110,60.9,0,0,0,0.0
2012,Cory Conacher,23,OTT,LW,12,2,3,5,6,4,0.8,2,0,0,1,3,0,0,14,14.3,154,12:51:00,1,14,4,8,33.3,527,532,49.8,-0.1,398,401,49.8,-1,10.6,89.5,100.1,56.9,43.1,13:58:00,11:54:00,10,20,110,60.9,0,0,0,0.0
2012,Erik Condra,26,OTT,RW,48,4,8,12,3,34,0.9,4,0,0,0,8,0,0,73,5.5,632,13:10:00,32,12,8,13,38.1,558,450,55.4,3,406,332,55,4.2,5.9,93.5,99.4,51.9,48.1,13:10:00,10:53:00,27,14,127,57.5,0,0,0,0.0
2012,Chris Conner,29,PHX,RW,12,1,1,2,3,2,0.2,1,0,0,0,1,0,0,15,6.7,137,11:23:00,5,15,0,2,0,132,147,47.3,-4.2,100,111,47.4,-6.7,8.6,96.1,104.7,54.5,45.5,11:23:00,11:09:00,7,0,25,60,0,0,0,0.0
2012,Brett Connolly,20,TBL,RW,5,1,0,1,-3,0,0,0,1,0,0,0,0,0,10,10,51,10:16:00,1,2,4,1,80,41,51,44.6,5.6,26,41,38.8,-1.4,0,89.7,89.7,37.5,62.5,10:16:00,08:26:00,4,0,19,52.6,0,0,0,0.0
2012,Matt Cooke,34,PIT,LW,48,8,13,21,-2,36,1.7,8,0,0,1,13,0,0,61,13.1,706,14:43:00,41,97,3,11,21.4,480,619,43.7,-8.1,356,447,44.3,-8.8,9.5,91.7,101.2,41,59,14:43:00,12:25:00,11,13,103,59.2,0,0,0,0.0
2012,Patrice Cormier,22,WPG,C,10,0,0,0,-3,7,-0.2,0,0,0,0,0,0,0,4,0,39,03:53:00,2,15,1,5,16.7,35,31,53,0.1,21,21,50,-2.4,0,80,80,62.5,37.5,03:53:00,03:51:00,0,0,10,40,0,0,0,0.0
