,Player,Season,Age,Tm,Pos,GP,G,A,PTS,PlusMinus,PIM,PS,EV_A,PP_A,SH_A,GW,EV_A,PP_A,SH_A,S,S_Pct,TOI,ATOI,BLK,HIT,FOW,FOL,FO_Pct,CF,CA,CF_Pct,CF_Pct_rel,FF,FA,FF_Pct,FF_Pct_rel,oiSH_Pct,oiSV_Pct,PDO,oZS_Pct,dZS_Pct,TOI/60,TOI(EV),TK,GV,SAtt.,Thru_Pct,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
42,Ethan Bear,2019,22,EDM,D,71,5,16,21,-4,33,4.0,4,1,0,1,15,1,0,99,5.1,1560,21:58:00,106,59,0,0,0.0,1280,1330,49.0,2.5,955,1020,48.4,0.5,9.5,90.4,100.0,52.1,47.9,21:58:00,19:03:00,44,84,181,54.7,0.0,0.0,0.0,0.0
43,J.C. Beaudin,2019,22,OTT,C,22,0,1,1,-4,7,-0.4,0,0,0,0,1,0,0,18,0.0,190,08:38:00,11,51,62,56,52.5,129,173,42.7,-5.3,95,129,42.4,-6.6,5.7,89.2,95.0,46.2,53.8,08:38:00,08:17:00,1,2,28,64.3,0.0,0.0,0.0,0.0
44,Nicolas Beaudin,2019,20,CHI,D,1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,2,0.0,17,17:01:00,2,2,0,0,0.0,17,22,43.6,-15.4,13,15,46.4,-21.4,9.1,100.0,109.1,66.7,33.3,17:01:00,16:51:00,0,1,5,40.0,0.0,0.0,0.0,0.0
45,Nathan Beaulieu,2019,27,WPG,D,38,1,7,8,15,29,2.6,1,0,0,1,7,0,0,38,2.6,646,17:00:00,47,62,0,0,0.0,461,556,45.3,-4.4,355,410,46.4,-1.7,9.6,95.6,105.2,51.8,48.2,0.7083333333333334,14:37:00,6,23,75,50.7,0.0,0.0,0.0,0.0
46,Anthony Beauvillier,2019,22,NYI,LW,68,18,21,39,-11,15,3.5,14,3,1,3,17,4,0,132,13.6,1174,17:16:00,36,86,9,4,69.2,899,1034,46.5,-0.3,674,765,46.8,-0.3,9.5,89.0,98.5,49.5,50.5,17:16:00,14:32:00,29,51,235,56.2,1.0,1.0,0.0,100.0
47,Pierre-Edouard Bellemare,2019,34,COL,LW,69,9,13,22,2,17,1.5,7,0,2,0,11,0,2,85,10.6,926,13:25:00,46,43,419,371,53.0,755,690,52.2,1.0,547,495,52.5,1.6,6.9,91.1,97.9,42.0,58.0,13:25:00,11:02:00,53,17,138,61.6,0.0,0.0,0.0,0.0
48,Kieffer Bellows,2019,21,NYI,LW,8,2,1,3,3,2,0.5,2,0,0,1,1,0,0,11,18.2,85,10:39:00,4,12,0,0,0.0,56,87,39.2,-8.4,42,61,40.8,-5.5,12.1,97.2,109.3,53.6,46.4,10:39:00,10:37:00,2,5,21,52.4,0.0,0.0,0.0,0.0
49,Emil Bemstrom,2019,20,CBJ,C,56,10,10,20,-10,8,1.7,5,5,0,4,7,3,0,97,10.3,687,12:16:00,17,52,4,9,30.8,496,496,50.0,1.2,367,374,49.5,-1.1,6.2,89.8,96.1,59.5,40.5,12:16:00,10:40:00,10,16,149,65.1,1.0,0.0,1.0,0.0
50,Jamie Benn,2019,30,DAL,LW,69,19,20,39,-4,53,4.2,11,8,0,4,14,6,0,163,11.7,1134,16:26:00,57,167,244,193,55.8,963,913,51.3,2.7,717,677,51.4,3.0,7.7,92.1,99.8,53.5,46.5,16:26:00,13:41:00,52,56,280,58.6,1.0,0.0,1.0,0.0
51,Jordie Benn,2019,32,VAN,D,44,1,6,7,-7,17,0.8,1,0,0,1,6,0,0,58,1.7,717,16:17:00,62,45,0,0,0.0,505,661,43.3,-8.4,393,486,44.7,-7.3,8.5,92.3,100.8,45.6,54.4,16:17:00,13:41:00,7,17,115,50.4,0.0,0.0,0.0,0.0
