Season,Player,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2015,Artem Anisimov,27,CHI,C,77,20,22,42,8,12,4.9,12,5,3,1,16,5,1,121,16.5,1393,18:05:00,40,53,507,641,44.2,1045,1035,50.2,-1.2,738,773,48.8,-2.2,9.9,91.7,101.5,67.1,32.9,18:05:00,14:27:00,28,14,-4.7,213,56.8,1,1,0,100.0
2015,Josh Archibald,23,PIT,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,05:02:00,1,1,0,0,,1,7,12.5,-53.4,0,5,0,-59.6,,100,,50,50,05:02:00,05:02:00,0,0,-0.2,1,0,0,0,0,0.0
2015,Mark Arcobello,27,TOR,C,20,3,1,4,0,0,0.4,3,0,0,0,1,0,0,43,7,254,12:41:00,3,22,132,110,54.5,240,168,58.8,6.2,177,132,57.3,6.9,8.9,90.7,99.6,67.3,32.7,12:41:00,10:17:00,9,4,-0.8,70,61.4,0,0,0,0.0
2015,Joel Armia,22,WPG,RW,43,4,6,10,2,12,0.8,4,0,0,1,4,0,2,52,7.7,523,12:10:00,20,59,0,2,0,415,399,51,-0.2,297,279,51.6,0.4,7.6,91.7,99.2,50.6,49.4,12:10:00,11:14:00,23,13,4.1,97,53.6,0,0,0,0.0
2015,Viktor Arvidsson,22,NSH,LW,56,8,8,16,-8,35,1.2,7,1,0,3,8,0,0,139,5.8,694,12:24:00,35,27,0,0,,683,584,53.9,2.1,503,409,55.2,2.5,5.8,90.3,96,51.5,48.5,12:24:00,11:59:00,15,17,2.3,228,61,0,0,0,0.0
2015,Andreas Athanasiou,21,DET,C,37,9,5,14,1,5,2.1,8,0,1,1,5,0,0,53,17,334,09:01:00,8,17,53,76,41.1,289,281,50.7,-3.7,224,234,48.9,-4.4,9.1,91.5,100.6,64.2,35.8,09:01:00,08:29:00,11,7,-2.3,85,62.4,1,1,0,100.0
2015,Cam Atkinson,26,CBJ,RW,81,27,26,53,-8,22,6.2,21,4,2,3,20,6,0,226,11.9,1442,17:48:00,40,47,2,2,50,1076,1067,50.2,3.2,815,785,50.9,3.5,9,88.8,97.9,47.9,52.1,17:48:00,13:41:00,43,18,6.6,371,60.9,10,3,7,30.0
2015,David Backes,31,STL,C,79,21,24,45,4,83,5.2,13,8,0,3,19,5,0,168,12.5,1519,19:14:00,63,239,620,572,52,1088,1043,51.1,-0.9,846,752,52.9,1.2,7.1,93.1,100.2,38.6,61.4,19:14:00,14:56:00,39,24,2.1,270,62.2,2,1,1,50.0
2015,Mikael Backlund,26,CGY,C,82,21,26,47,10,28,5.5,15,3,3,4,19,6,1,155,13.5,1347,16:26:00,51,68,539,604,47.2,1065,969,52.4,5.4,772,691,52.8,5.5,9,90,99,47.7,52.3,16:26:00,13:03:00,57,44,13,274,56.6,0,0,0,0.0
2015,Nicklas Backstrom,28,WSH,C,75,20,50,70,17,36,8.3,17,3,0,4,23,27,0,129,15.5,1439,19:11:00,50,51,659,698,48.6,1122,1062,51.4,1.4,799,752,51.5,1,9.1,93.7,102.8,49.2,50.8,19:11:00,15:13:00,42,27,3,222,58.1,3,1,2,33.3
