Player,AGE,POS,TEAM,DATE,TYPE,STRUCTURE,LENGTH,VALUE,CAP HIT
Scott Gomez,34,C,NJD,2014-12-01,Standard,2-way,1,550000,550000
Martin Brodeur,42,G,STL,2014-12-02,35+,1-way,1,700000,700000
Ilya Bryzgalov,34,G,ANA,2014-12-09,Standard,1-way,1,2880000,2880000
Mark Fraser,28,D,NJD,2014-12-18,Standard,2-way,1,550000,550000
Brad Boyes,33,"RW, C",TOR,2015-09-27,Standard,1-way,1,700000,700000
Mark Fraser,28,D,OTT,2015-09-28,Standard,2-way,1,800000,800000
Andrew Campbell,27,LD,TOR,2015-09-29,Standard,2-way,2,1150000,575000
Corey Potter,31,RD,ARI,2015-10-02,Standard,2-way,1,650000,650000
Lee Stempniak,32,RW,NJD,2015-10-03,Standard,1-way,1,850000,850000
Jonas Gustavsson,30,G,BOS,2015-10-04,Standard,1-way,1,700000,700000
Tomas Fleischmann,31,LW,MTL,2015-10-04,Standard,1-way,1,750000,750000
Scottie Upshall,31,LW,STL,2015-10-05,Standard,2-way,1,700000,700000
Thomas Raffl,29,"LW, RW",WPG,2015-10-06,Standard,1-way,1,575000,575000
Jack Skille,28,RW,COL,2015-10-06,Standard,2-way,1,675000,675000
Peter Budaj,32,G,LAK,2015-10-08,Standard,2-way,1,575000,575000
Eric Boulton,38,LW,NYI,2015-10-13,35+,1-way,1,675000,575000
Kyle Cumiskey,28,LD,CHI,2015-10-15,Standard,1-way,1,575000,575000
Rich Clune,28,LW,TOR,2015-10-29,Standard,2-way,1,575000,575000
Martin Havlat,34,LW,STL,2015-11-06,Standard,2-way,1,600000,600000
Dainius Zubrus,37,LW,SJS,2015-11-24,35+,1-way,1,600000,600000
Tyler Kennedy,29,C,NJD,2015-11-27,Standard,2-way,1,600000,600000
Tobias Rieder,23,"RW, LW",ARI,2016-10-03,Standard,1-way,2,4450000,2225000
Kris Russell,29,LD/RD,EDM,2016-10-07,Standard,1-way,1,3100000,3100000
Jakub Nakladal,28,RD,CAR,2016-10-09,Standard,1-way,1,600000,600000
Gabriel Bourque,26,"LW, RW",COL,2016-10-10,Standard,2-way,1,800000,800000
Rene Bourque,34,LW,COL,2016-10-10,Standard,1-way,1,650000,650000
Lauri Korpikoski,29,"LW, RW",DAL,2016-10-10,Standard,1-way,1,1000000,1000000
Johnny Gaudreau,22,LW,CGY,2016-10-10,Standard,1-way,6,40500000,6750000
Devin Setoguchi,28,RW,LAK,2016-10-11,Standard,2-way,1,575000,575000
Rasmus Ristolainen,21,RD,BUF,2016-10-11,Standard,1-way,6,32400000,5400000
Kris Versteeg,30,"LW, RW",CGY,2016-10-11,Standard,1-way,1,950000,950000
Eric Gryba,28,RD,EDM,2016-10-11,Standard,2-way,1,950000,950000
Nicklas Grossmann,31,LD,CGY,2016-10-11,Standard,1-way,1,575000,575000
Nikita Kucherov,23,RW,TBL,2016-10-11,Standard,1-way,3,14300000,4766667
Jack Skille,29,RW,VAN,2016-10-13,Standard,1-way,1,700000,700000
Rickard Rakell,23,"RW, LW",ANA,2016-10-14,Standard,1-way,6,22800000,3800000
Tom McCollum,26,G,CGY,2016-10-15,Standard,2-way,2,1225000,612500
Justin Fontaine,28,RW,NYR,2016-10-15,Standard,2-way,1,600000,600000
Steve Bernier,31,RW,NYI,2016-10-24,Standard,2-way,1,600000,600000
Hampus Lindholm,22,LD,ANA,2016-10-27,Standard,1-way,6,31500000,5250000
Jacob Trouba,22,RD,WPG,2016-11-07,Standard,1-way,2,6000000,2812500
Adam Pardy,32,LD,NSH,2016-11-30,Standard,2-way,1,575000,575000
Stephen Gionta,33,"C, RW",NYI,2016-12-21,Standard,2-way,1,575000,575000
